Original name,Family,TPL1.1_CompleteName,ANP,ARP,ASS,BIH,CHH,GOA,GUJ,HAR,HIP,JAK,JHA,KAR,KER,MAP,MAH,MAN,MEG,MIZ,NAG,ODI,PUN,RAJ,SIK,TAN,TRI,UTP,UTH,WBE,AAN,CHA,LAK,DEL,PUD
Chamaecrista rotundifolia  (Pers.) Greene,Leguminosae,Chamaecrista rotundifolia (Pers.) Greene,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chamaecytisus hirsutus L.,Leguminosae,Cytisus hirsutus L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chenopodium ambrosiodes L.,Amaranthaceae,Dysphania ambrosioides (L.) Mosyakin & Clemants,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Chenopodium botrys L.,Amaranthaceae,Dysphania botrys (L.) Mosyakin & Clemants,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chenopodium foliosum Asch.,Amaranthaceae,Chenopodium foliosum Asch.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chenopodium murale L.,Amaranthaceae,Chenopodium murale L.,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Chloris barbata Sw.,Poaceae,Chloris barbata Sw.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Chloris gayana Kunth,Poaceae,Chloris gayana Kunth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chromolaena odorata (L.) King & Robinson,Compositae,Chromolaena odorata (L.) R.M.King & H.Rob.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Chrozophora plicata  (Vahl) A.Juss. ex Spreng.,Euphorbiaceae,Chrozophora plicata (Vahl) A.Juss. ex Spreng.,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0
Cipura paludosa Aubl.,Iridaceae,Cipura paludosa Aubl.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Cirsium arvense (L.) Scop.,Compositae,Cirsium arvense (L.) Scop.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Cissampelos pareira L.,Menispermaceae,Cissampelos pareira L.,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Cleome monophylla L.,Cleomaceae,Cleome monophylla L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Cleome rutidosperma DC.,Cleomaceae,Cleome rutidosperma DC.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Clidemia hirta (L.) D. Don,Melastomataceae,Clidemia hirta (L.) D. Don,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Clinopodium vulgare L.,Lamiaceae,Clinopodium vulgare L.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conyza canadensis (L.) Cronquist,Compositae,Erigeron canadensis L.,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
